Name,Creation-Time,Last-Modified,Content-Length,AccessTier,Owner,Group,Permissions,Acl,Metadata,LastAccessTime
inventory/2021,2021-10-27T05:41:01Z,2021-10-27T05:41:01Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
inventory/2021/10,2021-10-27T05:41:01Z,2021-10-27T05:41:01Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
inventory/2021/10/27,2021-10-27T05:41:01Z,2021-10-27T05:41:01Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
inventory/2021/10/27/05-40-32,2021-10-27T05:41:01Z,2021-10-27T05:41:01Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
inventory/2021/10/27/05-40-32/Rulename,2021-10-27T05:41:01Z,2021-10-27T05:41:01Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
inventory/2021/10/27/05-40-32/Rulename/Rulename-manifest.checksum,2021-10-27T06:01:03Z,2021-10-27T06:01:03Z,24,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
inventory/2021/10/27/05-40-32/Rulename/Rulename-manifest.json,2021-10-27T05:41:01Z,2021-10-27T06:01:02Z,1202,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
inventory/2021/10/27/05-40-32/Rulename/Rulename.csv,2021-10-27T05:51:02Z,2021-10-27T05:51:02Z,18093830,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191218,2021-10-04T12:10:49Z,2021-10-04T12:10:49Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191218/sale-small-20191218-snappy.parquet,2021-10-04T12:10:51Z,2021-10-07T11:09:22Z,47758519,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191219,2021-10-04T12:10:42Z,2021-10-04T12:10:42Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191219/sale-small-20191219-snappy.parquet,2021-10-04T12:10:45Z,2021-10-07T11:09:27Z,47934012,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191220,2021-10-04T12:10:42Z,2021-10-04T12:10:42Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191220/sale-small-20191220-snappy.parquet,2021-10-04T12:10:46Z,2021-10-07T11:09:27Z,47851957,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191221,2021-10-04T12:10:54Z,2021-10-04T12:10:54Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191221/sale-small-20191221-snappy.parquet,2021-10-04T12:10:54Z,2021-10-07T11:09:21Z,12051921,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191222,2021-10-04T12:10:35Z,2021-10-04T12:10:35Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191222/sale-small-20191222-snappy.parquet,2021-10-04T12:10:40Z,2021-10-07T11:09:21Z,12029466,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191223,2021-10-04T12:10:49Z,2021-10-04T12:10:49Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191223/sale-small-20191223-snappy.parquet,2021-10-04T12:10:52Z,2021-10-07T11:09:19Z,47759207,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191224,2021-10-04T12:10:39Z,2021-10-04T12:10:39Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191224/sale-small-20191224-snappy.parquet,2021-10-04T12:10:42Z,2021-10-07T11:09:28Z,47792251,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191225,2021-10-04T12:10:48Z,2021-10-04T12:10:48Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191225/sale-small-20191225-snappy.parquet,2021-10-04T12:10:49Z,2021-10-07T11:09:21Z,47766825,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191226,2021-10-04T12:10:46Z,2021-10-04T12:10:46Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191226/sale-small-20191226-snappy.parquet,2021-10-04T12:10:53Z,2021-10-07T11:09:22Z,47927268,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191227,2021-10-04T12:10:45Z,2021-10-04T12:10:45Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191227/sale-small-20191227-snappy.parquet,2021-10-04T12:10:50Z,2021-10-07T11:09:22Z,47762874,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191228,2021-10-04T12:10:43Z,2021-10-04T12:10:43Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191228/sale-small-20191228-snappy.parquet,2021-10-04T12:10:45Z,2021-10-07T11:09:20Z,11936210,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191229,2021-10-04T12:10:42Z,2021-10-04T12:10:42Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191229/sale-small-20191229-snappy.parquet,2021-10-04T12:10:42Z,2021-10-07T11:09:29Z,11804701,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191230,2021-10-04T12:10:40Z,2021-10-04T12:10:40Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191230/sale-small-20191230-snappy.parquet,2021-10-04T12:10:42Z,2021-10-07T11:09:25Z,47773477,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191231,2021-10-04T12:10:42Z,2021-10-04T12:10:42Z,0,Hot,$superuser,$superuser,rwxr-x---,"user::rwx,group::r-x,other::---",null,
wwi-02/sale-small/Year=2019/Quarter=Q4/Month=12/Day=20191231/sale-small-20191231-snappy.parquet,2021-10-04T12:10:47Z,2021-10-07T11:09:21Z,47652864,Hot,$superuser,$superuser,rw-r-----,"user::rw-,group::r--,other::---",,
